user_id,movie_id,rating
1,1,9.0
1,2,8.5
1,3,9.0
1,4,8.0
1,11,7.5
1,12,8.0
1,23,7.0
2,1,8.0
2,5,9.5
2,6,8.5
2,7,9.0
2,8,9.0
2,9,8.5
2,10,8.0
3,2,9.0
3,3,8.5
3,4,9.0
3,13,9.0
3,14,8.5
3,15,8.0
3,19,9.5
4,6,9.0
4,7,9.5
4,15,9.0
4,16,8.5
4,22,8.0
4,26,8.5
4,27,8.0
5,5,8.5
5,8,9.0
5,9,8.5
5,10,9.0
5,17,8.0
5,20,7.5
5,21,7.0
6,11,9.0
6,12,8.5
6,23,9.0
6,24,7.5
6,25,8.0
6,26,9.0
6,27,8.5
7,1,8.5
7,2,9.0
7,13,8.5
7,14,9.0
7,19,9.0
7,25,8.0
7,28,8.5
8,3,9.0
8,4,8.0
8,11,8.5
8,22,9.0
8,27,8.5
8,28,9.0
8,29,9.5
8,30,9.0
9,6,8.5
9,7,9.0
9,15,8.5
9,16,9.0
9,18,8.5
9,22,8.0
9,26,8.0
10,5,9.0
10,8,8.5
10,9,9.0
10,17,8.5
10,20,8.0
10,21,7.5
10,24,8.0
11,1,9.5
11,2,9.0
11,3,8.5
11,4,9.0
11,13,9.0
11,14,8.5
12,7,9.5
12,16,8.0
12,18,9.0
12,19,8.5
12,22,8.5
12,27,8.0
12,29,9.0
13,9,9.0
13,10,8.5
13,17,9.0
13,20,8.0
13,21,7.5
13,25,8.0
14,2,8.5
14,3,9.0
14,4,8.5
14,23,8.0
14,28,9.0
14,29,9.5
14,30,9.0
15,6,9.0
15,7,8.5
15,15,9.5
15,16,8.5
15,18,8.0
15,26,8.5
